ds_cargo,cd_municipio,nm_municipio,nr_turno,sg_uf,nr_zona,qt_secoes_agregadas,qt_aptos_tot,qt_comparecimento,qt_votos_nom_validos,qt_votos_brancos,qt_total_vt_leg_validos,qt_total_votos_anulados,qt_votos_validos,qt_votos,qt_total_votos_nulos
Presidente,43117,CEDRO DO ABAETÉ,1,MG,1,1,1284,943,894,21,0,0,894,943,28
Presidente,43133,CENTRAL DE MINAS,1,MG,169,0,5977,4201,4046,51,0,0,4046,4201,104
Presidente,43150,CENTRALINA,1,MG,302,0,7350,5824,5632,77,0,0,5632,5824,115
Presidente,43176,CHÁCARA,1,MG,42,0,3612,3069,2980,35,0,0,2980,3069,54
Presidente,43192,CHALÉ,1,MG,158,0,5231,4203,4033,59,0,0,4033,4203,111
Presidente,43214,CHAPADA DO NORTE,1,MG,177,5,9356,5763,5340,74,0,0,5340,5763,349
Presidente,43230,CHIADOR,1,MG,170,3,2930,2408,2303,20,0,0,2303,2408,85
Presidente,43257,CIPOTÂNEA,1,MG,11,0,5783,3931,3649,135,0,0,3649,3931,147
Presidente,43273,CLARAVAL,1,MG,127,0,4579,3666,3604,32,0,0,3604,3666,30
Presidente,43290,CLARO DOS POÇÕES,1,MG,184,0,7468,5883,5597,83,0,0,5597,5883,203
Presidente,43311,CLÁUDIO,1,MG,81,1,21770,17893,16746,542,0,0,16746,17893,605
Presidente,43338,COIMBRA,1,MG,282,2,6326,5287,4894,131,0,0,4894,5287,262
Presidente,43354,COLUNA,1,MG,257,2,6834,4781,4421,78,0,0,4421,4781,282
Presidente,43370,COMENDADOR GOMES,1,MG,297,0,2821,2098,2044,20,0,0,2044,2098,34
Presidente,43397,COMERCINHO,1,MG,175,1,6777,4683,4409,51,0,0,4409,4683,223
Presidente,43419,CONCEIÇÃO DA APARECIDA,1,MG,77,0,8060,6424,6166,126,0,0,6166,6424,132
Presidente,43435,CONCEIÇÃO DAS PEDRAS,1,MG,99,1,2697,2178,2017,67,0,0,2017,2178,94
Presidente,43451,CONCEIÇÃO DAS ALAGOAS,1,MG,82,1,19614,15131,14603,201,0,0,14603,15131,327
Presidente,43478,CONCEIÇÃO DE IPANEMA,1,MG,129,2,4204,3297,3178,28,0,0,3178,3297,91
Presidente,43494,CONCEIÇÃO DO MATO DENTRO,1,MG,83,10,18090,13283,12405,243,0,0,12405,13283,635
Presidente,43516,CONCEIÇÃO DO PARÁ,1,MG,219,0,5111,4020,3868,69,0,0,3868,4020,83
Presidente,43532,CONCEIÇÃO DO RIO VERDE,1,MG,80,0,10382,7982,7514,204,0,0,7514,7982,264
Presidente,43559,CONCEIÇÃO DOS OUROS,1,MG,300,4,8612,7330,6928,170,0,0,6928,7330,232
Presidente,43575,CONGONHAL,1,MG,227,0,9324,7641,7318,147,0,0,7318,7641,176
Presidente,43591,CONGONHAS,1,MG,85,1,42137,35112,32939,804,0,0,32939,35112,1369
Presidente,43613,CONGONHAS DO NORTE,1,MG,83,2,4227,2961,2647,61,0,0,2647,2961,253
Presidente,43630,CONQUISTA,1,MG,326,0,5418,4397,4208,63,0,0,4208,4397,126
Presidente,43656,CONSELHEIRO LAFAIETE,1,MG,87,11,97138,81120,76236,1608,0,0,76236,81120,3276
Presidente,43672,CONSELHEIRO PENA,1,MG,89,5,16853,11791,11302,169,0,0,11302,11791,320
Presidente,43699,CONSOLAÇÃO,1,MG,205,1,1923,1421,1359,24,0,0,1359,1421,38
Presidente,43710,CONTAGEM,1,MG,90,0,111385,93302,88350,1774,0,0,88350,93302,3178
Presidente,43710,CONTAGEM,1,MG,91,60,103940,87593,83483,1488,0,0,83483,87593,2622
Presidente,43710,CONTAGEM,1,MG,93,21,114809,96580,91682,1530,0,0,91682,96580,3368
Presidente,43710,CONTAGEM,1,MG,313,0,122379,101962,95926,2250,0,0,95926,101962,3786
Presidente,43737,COQUEIRAL,1,MG,192,0,7725,5975,5684,107,0,0,5684,5975,184
Presidente,43753,CORAÇÃO DE JESUS,1,MG,94,6,21213,15589,14926,157,0,0,14926,15589,506
Presidente,43770,CORDISBURGO,1,MG,206,0,7189,5620,5389,96,0,0,5389,5620,135
Presidente,43796,CORDISLÂNDIA,1,MG,253,0,2729,2148,2053,27,0,0,2053,2148,68
Presidente,43818,CORINTO,1,MG,95,6,20020,14057,13474,209,0,0,13474,14057,374
Presidente,43834,COROACI,1,MG,212,1,7624,5799,5359,89,0,0,5359,5799,351
Presidente,43850,COROMANDEL,1,MG,96,5,24082,18440,17677,302,0,0,17677,18440,461
Presidente,43877,CORONEL FABRICIANO,1,MG,97,4,81620,61975,59567,878,0,0,59567,61975,1530
Presidente,43893,CORONEL MURTA,1,MG,15,2,7155,5361,5046,88,0,0,5046,5361,227
Presidente,43915,CORONEL PACHECO,1,MG,235,7,2857,2350,2230,39,0,0,2230,2350,81
Presidente,43931,CORONEL XAVIER CHAVES,1,MG,232,1,2942,2427,2266,59,0,0,2266,2427,102
Presidente,43958,CÓRREGO DANTA,1,MG,163,0,3048,2279,2193,25,0,0,2193,2279,61
Presidente,43974,CÓRREGO DO BOM JESUS,1,MG,59,2,4122,3253,3086,59,0,0,3086,3253,108
Presidente,43990,CÓRREGO NOVO,1,MG,72,3,3524,2675,2573,40,0,0,2573,2675,62
Presidente,44016,COUTO DE MAGALHÃES DE MINAS,1,MG,101,0,3838,2744,2573,42,0,0,2573,2744,129
Presidente,44032,CRISTAIS,1,MG,64,3,8400,6667,6251,168,0,0,6251,6667,248
Presidente,44059,CRISTÁLIA,1,MG,120,0,5134,3618,3408,54,0,0,3408,3618,156
Presidente,44075,CRISTIANO OTONI,1,MG,88,1,4425,3664,3357,108,0,0,3357,3664,199
Presidente,44091,CRISTINA,1,MG,99,1,8226,6332,5953,120,0,0,5953,6332,259
Presidente,44113,CRUCILÂNDIA,1,MG,47,0,5388,4201,3915,121,0,0,3915,4201,165
Presidente,44130,CRUZEIRO DA FORTALEZA,1,MG,211,0,3896,3175,3088,34,0,0,3088,3175,53
Presidente,44156,CRUZÍLIA,1,MG,346,0,12960,10056,9521,222,0,0,9521,10056,313
Presidente,44172,CURVELO,1,MG,100,14,60043,45926,43599,1022,0,0,43599,45926,1305
Presidente,44199,DATAS,1,MG,262,1,4990,3723,3489,71,0,0,3489,3723,163
Presidente,44210,DELFIM MOREIRA,1,MG,134,4,6720,5328,5031,131,0,0,5031,5328,166
Presidente,44237,DELFINÓPOLIS,1,MG,78,1,6182,4572,4383,63,0,0,4383,4572,126
Presidente,44253,DESCOBERTO,1,MG,258,0,4463,3584,3411,62,0,0,3411,3584,111
Presidente,44270,DESTERRO DE ENTRE RIOS,1,MG,106,4,6125,4983,4522,268,0,0,4522,4983,193
Presidente,44296,DESTERRO DO MELO,1,MG,25,0,3546,3040,2831,47,0,0,2831,3040,162
Presidente,44318,DIAMANTINA,1,MG,101,9,37878,28449,27084,397,0,0,27084,28449,968
Presidente,44334,DIOGO DE VASCONCELOS,1,MG,171,2,3752,2991,2793,38,0,0,2793,2991,160
Presidente,44350,DIONÍSIO,1,MG,251,0,6934,4900,4614,91,0,0,4614,4900,195
Presidente,44377,DIVINÉSIA,1,MG,261,0,4519,3654,3526,35,0,0,3526,3654,93
Presidente,44393,DIVINO,1,MG,70,0,15861,11790,11290,187,0,0,11290,11790,313
Presidente,44415,DIVINO DAS LARANJEIRAS,1,MG,117,0,4687,3186,3034,48,0,0,3034,3186,104
Presidente,44431,DIVINOLÂNDIA DE MINAS,1,MG,283,0,6435,4236,3903,86,0,0,3903,4236,247
Presidente,44458,DIVINÓPOLIS,1,MG,102,5,99094,81626,77969,1394,0,0,77969,81626,2263
Presidente,44458,DIVINÓPOLIS,1,MG,103,1,71654,59045,55709,1322,0,0,55709,59045,2014
Presidente,44474,DIVISA NOVA,1,MG,55,0,4897,3879,3740,40,0,0,3740,3879,99
Presidente,44490,DOM CAVATI,1,MG,267,0,4120,3337,3172,50,0,0,3172,3337,115
Presidente,44512,DOM JOAQUIM,1,MG,83,6,4031,3027,2822,31,0,0,2822,3027,174
